"iata","airport"
"MQD","Maquinchao Airport"
"MQE","Marqua Airport"
"MQF","Magnitogorsk International Airport"
"MQG","Midgard Airport"
"MQH","Minacu Airport"
"MQJ","Moma Airport"
"MQK","San Matias Airport"
"MQL","Mildura Airport"
"MQM","Mardin Airport"
"MQN","Mo i Rana Airport"
"MQO","Malam Airport"
"MQP","Kruger Mpumalanga International Airport"
"MQQ","Moundou Airport"
"MQR","Mosquera Airport"
"MQS","Mustique Airport"
"MQT","Sawyer International Airport"
"MQU","Mariquita Airport"
"MQV","Mostaganem Airport"
"MQW","Telfair-Wheeler Airport"
"MQX","Alula Aba Nega Airport"
"MQY","Smyrna Airport"
"MQZ","Margaret River Airport"
"MRA","Misrata Airport"
"MRB","Eastern WV Regional Airport (Shepherd Field)"
"MRC","Maury County Airport"
"MRD","Alberto Carnevalli Airport"
"MRE","Mara Serena Airport"
"MRF","Marfa Municipal Airport"
"MRG","Mareeba Airfield"
"MRH","May River Airport"
"MRI","Merrill Field"
"MRJ","Marcala Airport"
"MRK","Marco Island Airport"
"MRL","Miners Lake Airport"
"MRM","Manari Airport"
"MRN","Foothills Regional Airport (was Morganton-Lenoir Airport)"
"MRO","Hood Aerodrome"
"MRP","Marla Airport"
"MRQ","Marinduque Airport"
"MRR","Jose Maria Velasco Ibarra Airport"
"MRS","Marseille Provence Airport"
"MRT","Moroak Airport"
"MRU","Sir Seewoosagur Ramgoolam International Airport"
"MRV","Mineralnye Vody Airport"
"MRW","Lolland Falster Airport"
"MRX","Mahshahr Airport"
"MRY","Monterey Regional Airport"
"MRZ","Moree Airport"
"MSA","Muskrat Dam Airport"
"MSC","Falcon Field Airport"
"MSD","Mount Pleasant Airport"
"MSE","Manston Airport"
"MSF","Mount Swan Airport"
"MSG","Matsaile Airport"
"MSH","Masirah Air Base"
"MSI","Masalembo Airport"
"MSJ","Misawa Air Base"
"MSL","Northwest Alabama Regional Airport"
"MSM","Masi-Manimba Airport"
"MSN","Dane County Regional Airport (Truax Field)"
"MSO","Missoula International Airport"
"MSP","Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field)"
"MSQ","Minsk National Airport"
"MSR","Mus Airport"
"MSS","Massena International Airport (Richards Field)"
"MST","Maastricht Aachen Airport"
"MSU","Moshoeshoe I International Airport"
"MSV","Sullivan County International Airport"
"MSW","Massawa International Airport"
"MSX","Mossendjo Airport"
"MSY","Louis Armstrong New Orleans International Airport"
"MSZ","Namibe Airport (Yuri Gagarin Airport)"
"MTA","Matamata Airport"
"MTB","Montelibano Airport"
"MTC","Selfridge Air National Guard Base"
"MTD","Mount Sandford Station Airport"
"MTE","Monte Alegre Airport"
"MTF","Mizan Teferi Airport"
"MTG","Mato Grosso Airport"
"MTH","Florida Keys Marathon Airport"
"MTI","Mosteiros Airport"
"MTJ","Montrose Regional Airport"
"MTK","Makin Airport"
"MTL","Maitland Airport"
"MTM","Metlakatla Seaplane Base"
"MTN","Martin State Airport"
"MTO","Coles County Memorial Airport"
"MTP","Montauk Airport"
"MTQ","Mitchell Airport"
"MTR","Los Garzones Airport"
"MTS","Matsapha Airport"
"MTT","Minatitlan/Coatzacoalcos International Airport"
"MTU","Montepuez Airport"
"MTV","Mota Lava Airport"
"MTW","Manitowoc County Airport"
"MTX","Metro Field"
"MTY","General Mariano Escobedo International Airport"
"MTZ","Bar Yehuda Airfield (Masada Airfield)"
"MUA","Munda Airport"
"MUB","Maun Airport"
"MUC","Munich Airport"
"MUD","Mueda Airport"
"MUE","Waimea-Kohala Airport"
"MUF","Muting Airport"
"MUG","Mulege Airstrip"
"MUH","Marsa Matruh International Airport"
"MUI","Muir Army Airfield"
"MUJ","Mui Airport"
"MUK","Mauke Airport"
"MUL","Spence Airport"
"MUN","Jose Tadeo Monagas International Airport"
"MUO","Mountain Home Air Force Base"
"MUP","Mulga Park Airport"
"MUQ","Muccan Station Airport"
"MUR","Marudi Airport"
"MUS","Minami Torishima Airport"
"MUT","Muscatine Municipal Airport"
"MUW","Ghriss Airport"
"MUX","Multan International Airport"
"MUY","Mouyondzi Airport"
"MUZ","Musoma Airport"
"MVA","Myvatn Airport"
"MVB","M'Vengue El Hadj Omar Bongo Ondimba International Airport"
"MVC","Monroe County Airport"
"MVD","Carrasco Gral. Cesareo L. Berisso International Airport"
"MVE","Montevideo-Chippewa County Airport"
"MVF","Gov. Dix-Sept Rosado Airport"
"MVG","Mevang Airport"
"MVH","Macksville Airport"
"MVI","Manetai Airport"
"MVK","Mulka Airport"
"MVL","Morrisville-Stowe State Airport"
"MVM","Kayenta Airport"
"MVN","Mount Vernon Airport"
"MVO","Mongo Airport"
"MVP","Fabio Alberto Leon Bentley Airport"
"MVQ","Mogilev Airport"
"MVR","Salak Airport"
"MVS","Mucuri Airport"
"MVT","Mataiva Airport"
"MVU","Musgrave Airport"
"MVV","Megeve Altiport"
"MVW","Skagit Regional Airport"
"MVX","Minvoul Airport"
"MVY","Martha's Vineyard Airport"
"MVZ","Masvingo Airport"
"MWA","Williamson County Regional Airport"
"MWB","Morawa Airport"
"MWC","Lawrence J. Timmerman Airport"
"MWD","PAF Base M.M. Alam"
"MWE","Merowe Airport"
"MWF","Maewo-Naone Airport"
"MWG","Marawaka Airport"
"MWH","Grant County International Airport"
"MWI","Maramuni Airport"
"MWJ","Matthews Ridge Airport"
"MWK","Matak Airport (Tarempa Airport)"
"MWL","Mineral Wells Airport"
"MWM","Windom Municipal Airport"
"MWN","Mwadui Airport"
"MWO","Middletown Regional Airport (Hook Field)"
"MWQ","Magway Airport"
"MWR","Motswari Airstrip"
"MWT","Moolawatana Airport"
"MWU","Mussau Island Airport"
"MWV","Mondulkiri Airport"
"MWX","Muan International Airport"
"MWY","Miranda Downs Airport"
"MWZ","Mwanza Airport"
"MXA","Manila Municipal Airport"
"MXB","Andi Jemma Airport"
"MXC","Monticello Airport"
"MXD","Marion Downs Airport"
"MXE","Laurinburg-Maxton Airport"
"MXF","Maxwell Air Force Base"
"MXG","Marlboro Airport"
"MXH","Moro Airport"
"MXI","Mati Airport (Imelda R. Marcos Airport)"
"MXJ","Minna Airport"
"MXK","Mindik Airport"
"MXL","General Rodolfo Sanchez Taboada International Airport"
"MXM","Morombe Airport"
"MXN","Morlaix - Ploujean Airport"
"MXO","Monticello Regional Airport"
"MXP","Milan-Malpensa Airport"
"MXR","Myrhorod Air Base"
"MXS","Maota Airport"
"MXT","Maintirano Airport"
"MXU","Mullewa Airport"
"MXV","Moron Airport"
"MXW","Mandalgovi Airport"
"MXX","Mora-Siljan Airport"
"MXY","McCarthy Airport"
"MXZ","Meixian Airport"
"MYA","Moruya Airport"
"MYB","Mayumba Airport"
"MYC","Mariscal Sucre Airport"
"MYD","Malindi Airport"
"MYE","Miyakejima Airport"
"MYF","Montgomery Field Airport"
"MYG","Mayaguana Airport (Abraham's Bay Airport)"
"MYH","Marble Canyon Airport"
"MYI","Murray Island Airport"
"MYJ","Matsuyama Airport"
"MYK","May Creek Airport"
"MYL","McCall Municipal Airport"
"MYM","Monkey Mountain Airport"
"MYN","Marib Airport"
"MYO","Myroodah Airport"
"MYP","Mary International Airport"
"MYQ","Mysore Airport (Mandakalli Airport)"
"MYR","Myrtle Beach International Airport"
"MYT","Myitkyina Airport"
"MYU","Mekoryuk Airport"
"MYV","Yuba County Airport"
"MYW","Mtwara Airport"
"MYX","Menyamya Airport"
"MYY","Miri Airport"
"MYZ","Monkey Bay Airport"
"MZA","Manuel Prado Ugarteche Airport"
"MZB","Mocimboa da Praia Air"
"MZC","Mitzic Airport"
"MZD","Mendez Airport"
"MZE","Manatee Airport"
"MZF","Wild Coast Sun Airport"
"MZG","Magong Airport"
"MZH","Amasya Merzifon Airport"
"MZI","Mopti Airport (Ambodedjo Airport)"
"MZJ","Pinal Airpark"
"MZK","Marakei Airport"
"MZL","La Nubia Airport (Santaguida Airport)"
"MZM","Metz-Frescaty Air Base"
"MZN","Minj Airport"
"MZO","Sierra Maestra Airport"
"MZP","Motueka Aerodrome"
"MZQ","Mkuze Airport"
"MZR","Mazar-e Sharif International Airport"
"MZT","General Rafael Buelna International Airport"
"MZU","Muzaffarpur Airport"
"MZV","Mulu Airport"
"MZW","Mecheria Airport"
"MZX","Mena Airport"
"MZY","Mossel Bay Airport"
"MZZ","Marion Municipal Airport"
"NAA","Narrabri Airport"
"NAC","Naracoorte Airport"
"NAD","Macanal Airport"
"NAE","Boundetingou Airport"
"NAF","Banaina Airport"
"NAG","Dr. Babasaheb Ambedkar International Airport"
"NAH","Naha Airport"
"NAI","Annai Airport"
"NAJ","Nakhchivan International Airport"
"NAK","Nakhon Ratchasima Airport"
"NAL","Nalchik Airport"
"NAM","Namlea Airport"
"NAN","Nadi International Airport"
"NAO","Nanchong Gaoping Airport"
"NAP","Naples International Airport"
"NAQ","Qaanaaq Airport"
"NAR","Puerto Nare Airport"
"NAS","Lynden Pindling International Airport"
"NAT","Sao Goncalo do Amarante-Governador Aluizio Alves International Airport"
"NAU","Napuka Airport"
"NAV","Nevsehir Kapadokya Air"
"NAW","Narathiwat Airport"
"NAZ","Nana Airport"
"NBA","Nambaiyufa Airport"
"NBB","Barranco Minas Airport"
"NBC","Begishevo Airport"
"NBE","Enfidha-Hammamet International Airport"
"NBG","NAS JRB New Orleans (Alvin Callender Field)"
"NBH","Nambucca Heads Airport"
"NBL","Wannukandi Airport"
"NBN","Annobon Air"
"NBO","Jomo Kenyatta International Airport"
"NBS","Changbaishan Airport"
"NBW","Guantanamo Bay Naval Base"
"NBX","Nabire Airport"
"NCA","North Caicos Airport"
"NCE","Nice Cote d'Azur Airport"
"NCG","Nuevo Casas Grandes Municipal Airport"
"NCH","Nachingwea Airport"
"NCI","Antioquia Airport"
"NCJ","Sunchales Airport"
"NCL","Newcastle Airport"
"NCN","Chenega Bay Airport"
"NCO","Quonset State Airport"
"NCR","San Carlos Airport"
"NCS","Newcastle Airport"
"NCT","Nicoya Guanacaste Airport"
"NCU","Nukus Airport"
"NCY","Annecy - Haute-Savoie - Mont Blanc Airport"
"NDA","Bandanaira Airport"
"NDB","Nouadhibou International Airport"
"NDC","Shri Guru Gobind Singh Ji Airport"
"NDD","Sumbe Airport"
"NDE","Mandera Airport"
"NDF","N'dalatando Airport"
"NDG","Qiqihar Sanjiazi Airport"
"NDI","Namudi Airport"
"NDJ","N'Djamena International Airport"
"NDK","Namorik Airport (Namdrik Airport)"
"NDL","N'Dele Airport"
"NDM","Mendi Airport"
"NDN","Nadunumu Airport"
"NDR","Nador International Airport"
"NDS","Sandstone Airport"
"NDU","Rundu Airport"
"NDY","Sanday Airport"
"NEC","Necochea Airport"
"NEF","Neftekamsk Airport"
"NEG","Negril Aerodrome"
"NEJ","Nejjo Airport"
"NEK","Nekemte Airport"
"NEL","NAES Lakehurst (Maxfield Field)"
"NEN","NOLF Whitehouse"
"NER","Chulman Neryungri Airport"
"NEU","Nathong Airport"
"NEV","Vance W. Amory International Airport"
"NEW","Lakefront Airport"
"NFG","Nefteyugansk Airport"
"NFL","NAS Fallon (Van Voorhis Field)"
"NFO","Niuafo'ou Airport"
"NFR","Nafoora Airport"
"NGA","Young Airport"
"NGB","Ningbo Lishe International Airport"
"NGD","Auguste George Airport"
"NGE","Ngaoundere Airport"
"NGF","MCAS Kaneohe Bay"
"NGI","Gau Airport"
"NGK","Nogliki Airport"
"NGL","Ngala Airfield"
"NGN","Nargana Airport"
"NGO","Chubu Centrair International Airport"
"NGP","NAS Corpus Christi (Truax Field)"
"NGQ","Ngari Gunsa Airport"
"NGR","Ningerum Airport"
"NGS","Nagasaki Airport"
"NGU","NS Norfolk (Chambers Field)"
"NGW","NOLF Cabaniss Field"
"NGX","Manang Airport"
"NHA","Nha Trang Air Base"
"NHD","Al Minhad Air Base"
"NHF","New Halfa Airport"
"NHK","NAS Patuxent River (Trapnell Field)"
"NHS","Nushki Airport"
"NHT","RAF Northolt"
"NHV","Nuku Hiva Airport"
"NHX","NOLF Barin"
"NHZ","Brunswick Executive Airport"
"NIA","Nimba Airport"
"NIB","Nikolai Airport"
"NIF","Nifty Airport"
"NIG","Nikunau Airport"
"NIK","Niokolo-Koba Airport"
"NIM","Diori Hamani International Airport"
"NIN","Ninilchik Airport"
"NIO","Nioki Airport"
"NIP","NAS Jacksonville (Towers Field)"
"NIR","Chase Field Industrial Complex"
"NIS","Simberi Airport"
"NIT","Niort - Souche Airport"
"NIU","Niau Airport"
"NIX","Nioro Airport"
"NJA","Naval Air Facility Atsugi"
"NJC","Nizhnevartovsk Airport"
"NJF","Al Najaf International Airport"
"NJK","NAF El Centro"
"NKA","Nkan Airport"
"NKB","Noonkanbah Airport"
"NKC","Nouakchott-Oumtounsy International Airport"
"NKD","Sinak Airport"
"NKG","Nanjing Lukou International Airport"
"NKI","Naukati Bay Seaplane Base"
"NKL","Nkolo-Fuma Airport"
"NKM","Nagoya Airfield (Komaki Airport)"
"NKN","Nankina Airport"
"NKP","Nukutepipi Airport"
"NKS","Nkongsamba Airport"
"NKT","Sirnak Airport"
"NKU","Nkaus Airport"
"NKX","MCAS Miramar"
"NKY","Yokangassi Airport"
"NLA","Simon Mwansa Kapwepwe International Airport"
"NLC","NAS Lemoore (Reeves Field)"
"NLD","Quetzalcoatl International Airport"
"NLE","Jerry Tyler Memorial Airport"
"NLF","Darnley Island Airport"
"NLG","Nelson Lagoon Airport"
"NLH","Ninglang Luguhu Airport"
"NLI","Nikolayevsk-on-Amur Airport"
"NLK","Norfolk Island Airport"
"NLL","Nullagine Airport"
"NLN","Kneeland Airport"
"NLO","N'Dolo Airport"
"NLP","Nelspruit Airport"
"NLS","Nicholson Airport"
"NLT","Xinyuan Nalati Airport"
"NLU","Felipe Ángeles International Airport"
"NLV","Mykolaiv International Airport"
"NMA","Namangan Airport"
"NMB","Daman Airport"
"NMC","Norman's Cay Airport"
"NME","Nightmute Airport"
"NMF","Maafaru International Airport"
"NMG","San Miguel Airport"
"NML","Fort McMurray/Mildred Lake Airport"
"NMN","Nomane Airport"
"NMP","New Moon Airport"
"NMR","Nappa Merrie Airport"
"NMS","Nansang Airport"
"NMT","Namtu Airport"
"NNA","Kenitra Air Base"
"NNB","Santa Ana Airport"
"NND","Nangade Airport"
"NNG","Nanning Wuxu International Airport"
"NNI","Namutoni Airport"
"NNK","Naknek Airport"
"NNL","Nondalton Airport"
"NNM","Naryan-Mar Airport"
"NNR","Connemara Airport"
"NNT","Nan Nakhon Airport"
"NNU","Nanuque Airport"
"NNX","Nunukan Airport"
"NNY","Nanyang Jiangying Airport"
"NOA","NAS Nowra"
"NOB","Nosara Airport"
"NOC","Ireland West Airport Knock"
"NOD","Norddeich Airport"
"NOG","Nogales International Airport"
"NOI","Novorossiysk Airport"
"NOJ","Noyabrsk Airport"
"NOK","Nova Xavantina Airport"
"NOM","Nomad River Airport"
"NON","Nonouti Airport"
"NOO","Naoro Airport"
"NOP","Sinop Airport"
"NOR","Norofjorour Airport"
"NOS","Fascene Airport"
"NOT","Marin County Airport (Gnoss Field)"
"NOU","La Tontouta International Airport"
"NOV","Albano Machado Airport"
"NOZ","Spichenkovo Airport"
"NPA","NAS Pensacola (Forrest Sherman Field)"
"NPE","Hawke's Bay Airport"
"NPG","Nipa Airport"
"NPH","Nephi Municipal Airport"
"NPL","New Plymouth Airport"
"NPO","Nanga Pinoh Airport"
"NPP","Napperby Airport"
"NPR","Novo Progresso Airport"
"NPT","Newport State Airport"
"NPU","San Pedro de Uraba Airport"
"NQA","Millington Regional Jetport"
"NQI","NAS Kingsville"
"NQL","Niquelandia Air"
"NQN","Presidente Peron International Air"
"NQT","Nottingham Airport"
"NQU","Reyes Murillo Airport"
"NQX","NAS Key West (Boca Chica Field)"
"NQY","Cornwall Airport Newquay"
"NQZ","Nursultan Nazarbayev International Airport"
"NRA","Narrandera Airport"
"NRB","NS Mayport (Admiral David L. McDonald Field)"
"NRC","NASA Crows Landing Airport"
"NRD","Norderney Airport"
"NRE","Namrole Airport"
"NRG","Narrogin Airport"
"NRI","Grand Lake Regional Airport"
"NRK","Norrkoping Airport"
"NRL","North Ronaldsay Airport"
"NRM","Keibane Airport"
"NRN","Weeze Airport (Niederrhein Airport)"
"NRR","Jose Aponte de la Torre Airport"
"NRS","NOLF Imperial Beach (Ream Field)"
"NRT","Narita International Airport"
"NRY","Newry Airport"
"NSB","North Seaplane Base"
"NSE","NAS Whiting Field - North"
"NSH","Noshahr Airport"
"NSI","Yaounde Nsimalen International Airport"
"NSK","Alykel Airport"
"NSL","Slayton Municipal Airport"
"NSM","Norseman Airport"
"NSN","Nelson Airport"
"NSO","Scone Airport"
"NST","Nakhon Si Thammarat Airport"
"NSV","Noosa Airport"
"NSY","Naval Air Station Sigonella"
"NTA","Natadola Seaplane Base"
"NTB","Notodden Airport"
"NTC","Santa Carolina Airport"
"NTD","NAS Point Mugu (Naval Base Ventura County)"
"NTE","Nantes Atlantique Airport"
"NTG","Nantong Xingdong Airport"
"NTI","Stenkol Airport"
"NTJ","Manti-Ephraim Airport"
"NTL","Newcastle Airport / RAAF Base Williamtown"
"NTM","Miracema do Tocantins Airport"
"NTN","Normanton Airport"
"NTO","Agostinho Neto Airport"
"NTQ","Noto Airport"
"NTR","Del Norte International Airport"
"NTT","Niuatoputapu Airport"
"NTU","NAS Oceana (Apollo Soucek Field)"
"NTX","Ranai Airport"
"NTY","Pilanesberg International Airport"
"NUA","Gregory Lake Seaplane Base"
"NUB","Numbulwar Airport"
"NUD","En Nahud Airport"
"NUE","Nuremberg Airport"
"NUF","Castlereigh Reservoir Seaplane Base"
"NUG","Nuguria Airstrip"
"NUH","Nunchia Airport"
"NUI","Nuiqsut Airport"
"NUJ","Hamedan Air Base (Nogeh Airport)"
"NUK","Nukutavake Airport"
"NUL","Nulato Airport"
"NUM","Neom Bay Airport"
"NUN","NOLF Saufley Field"
"NUP","Nunapitchuk Airport"
"NUQ","Moffett Federal Airfield"
"NUR","Nullabor Motel Airport"
"NUS","Norsup Airport"
"NUT","Nutuve Airport"
"NUU","Nakuru Airport"
"NUW","NAS Whidbey Island (Ault Field)"
"NUX","Novy Urengoy Airport"
"NVA","Benito Salas Airport"
"NVD","Nevada Municipal Airport"
"NVG","Nueva Guinea Airport"
"NVI","Navoi International Airport"
"NVK","Narvik Airport"
"NVN","Nervino Airport"
"NVP","Novo Aripuana Airport"
"NVR","Novgorod Airport"
"NVS","Nevers - Fourchambault Airport"
"NVT","Navegantes-Ministro Victor Konder International Airport"
"NVY","Neyveli Airport"
"NWA","Moheli Bandar Es Eslam Airport"
"NWH","Parlin Field"
"NWI","Norwich International Airport"
"NWT","Nowata Airport"
"NYA","Nyagan Airport"
"NYE","Nyeri Airport"
"NYG","MCAF Quantico (Turner Field)"
"NYI","Sunyani Airport"
"NYK","Nanyuki Airport"
"NYM","Nadym Airport"
"NYN","Nyngan Airport"
"NYO","Stockholm Skavsta Airport"
"NYR","Nyurba Airport"
"NYT","Naypyidaw International Airport"
"NYU","Nyaung U Airport"
"NYW","Monywa Airport"
"NZA","Nzagi Airport"
"NZC","Maria Reiche Neuman Airport"
"NZE","Nzerekore Airport"
"NZH","Manzhouli Xijiao Airport"
"NZL","Zhalantun Chengjisihan Airport"
"NZY","NAS North Island (Halsey Field)"
"OAA","Forward Operating Base Shank"
"OAG","Orange Airport"
"OAH","Shindand Air Base"
"OAI","Bagram Airfield"
"OAJ","Albert J. Ellis Airport"
"OAK","Oakland International Airport"
"OAL","Capital do Cafe Airport"
"OAM","Oamaru Airport"
"OAN","El Arrayan Airport"
"OAR","Marina Municipal Airport"
"OAS","Sharana Airstrip / Forward Operating Base Sharana"
"OAX","Xoxocotlan International Air"
"OAZ","Camp Bastion Air Base"
"OBA","Oban Airport"
"OBC","Obock Airport"
"OBD","Obano Airport"
"OBE","Okeechobee County Airport"
"OBF","Oberpfaffenhofen Airport"
"OBI","Obidos Airport"
"OBL","Oostmalle Airfield"
"OBM","Morobe Airport"
"OBN","Oban Airport (North Connel Airport)"
"OBO","Tokachi-Obihiro Airport"
"OBS","Aubenas Aerodrome (Arddecheche Meridionale Aerodrom)"
"OBU","Kobuk Airport"
"OBX","Obo Airport"
"OCA","Ocean Reef Club Airport"
"OCC","Francisco de Orellana Airport"
"OCE","Ocean City Municipal Airport"
"OCF","Ocala International Airport (Jim Taylor Field)"
"OCH","A.L. Mangham Jr. Regional Airport"
"OCJ","Ian Fleming International Airport"
"OCM","Boolgeeda Airport"
"OCN","Oceanside Municipal Airport"
"OCS","Corisco International Airport"
"OCV","Aguas Claras Airport"
"OCW","Washington-Warren Airport (Warren Field)"
"ODA","Ouadda Airport"
"ODB","Cordoba Airport"
"ODC","Oakdale Airport"
"ODD","Oodnadatta Airport"
"ODE","Hans Christian Andersen Airport"
"ODH","RAF Odiham"
"ODJ","Ouanda Djalle Airport"
"ODL","Cordillo Downs Airport"
"ODM","Garrett County Airport"
"ODN","Long Seridan Airport"
"ODO","Bodaybo Airport"
"ODR","Ord River Airport"
"ODS","Odessa International Airport"
"ODW","A.J. Eisenberg Airport"
"ODY","Oudomsay Airport"
"OEC","Oecusse Airport"
"OEL","Oryol Yuzhny Airport"
"OEM","Vincent Fayks Airport"
"OEO","L.O. Simenstad Municipal Airport"
"OER","Ornskoldsvik Airport"
"OES","Antoine de Saint Exupery Airport"
"OFF","Offutt Air Force Base"
"OFI","Ouango Fitini Airport"
"OFJ","Olafsfjorour Airport"
"OFK","Norfolk Regional Airport (Karl Stefan Memorial Field)"
"OFU","Ofu Airport"
"OGA","Searle Field"
"OGB","Orangeburg Municipal Airport"
"OGD","Ogden-Hinckley Airport"
"OGE","Ogeramnang Airport"
"OGG","Kahului Airport"
"OGL","Eugene F. Correia International Airport"
"OGM","Ustupu-Ogobsucum Airport"
"OGN","Yonaguni Airport"
"OGO","Abengourou Airport"
"OGR","Bongor Airport"
"OGS","Ogdensburg International Airport"
"OGU","Ordu-Giresun Airport"
"OGV","Ongava Airstrip"
"OGX","Ain Beida Airport"
"OGZ","Beslan Airport"
"OHA","RNZAF Base Ohakea"
"OHB","Ambohibary Airport"
"OHD","Ohrid St. Paul the Apostle Airport"
"OHE","Mohe Gulian Airport"
"OHH","Okha Airport (Novostroyka Airport)"
"OHI","Oshakati Airport"
